C_Name,T_Name,Town_ID,traffic,land,flood
苗栗縣,卓蘭鎮,1000507,0,0,0
臺南市,西港區,6701400,0,0,1
屏東縣,里港鄉,1001309,1,0,0
臺南市,學甲區,6701300,1,0,16
新北市,金山區,6502700,0,0,0
屏東縣,高樹鄉,1001311,0,0,6
彰化縣,永靖鄉,1000716,0,0,0
屏東縣,九如鄉,1001308,0,0,0
嘉義縣,梅山鄉,1001015,5,19,2
臺南市,東山區,6700600,0,0,0
宜蘭縣,壯圍鄉,1000206,0,0,0
南投縣,國姓鄉,1000810,1,0,1
嘉義縣,番路鄉,1001016,4,4,0
新竹縣,橫山鄉,1000408,0,0,0
雲林縣,林內鄉,1000910,0,0,0
桃園市,復興區,6801300,0,0,0
新北市,三芝區,6502100,0,0,0
屏東縣,鹽埔鄉,1001310,0,0,0
宜蘭縣,三星鄉,1000210,0,0,0
花蓮縣,玉里鎮,1001503,0,0,0
彰化縣,埤頭鄉,1000722,0,0,0
高雄市,旗津區,6401000,0,0,0
苗栗縣,西湖鄉,1000514,0,0,0
臺南市,下營區,6700800,0,0,16
臺南市,鹽水區,6700200,1,0,8
屏東縣,佳冬鄉,1001321,0,0,17
臺南市,六甲區,6700900,0,0,0
雲林縣,二崙鄉,1000911,0,0,0
苗栗縣,頭屋鄉,1000512,0,0,0
南投縣,水里鄉,1000811,1,0,0
臺東縣,鹿野鄉,1001405,0,0,0
高雄市,彌陀區,6402800,0,0,0
彰化縣,埔鹽鄉,1000714,0,0,0
新北市,烏來區,6502900,0,0,0
雲林縣,大埤鄉,1000908,0,0,0
彰化縣,芬園鄉,1000709,0,0,0
雲林縣,土庫鎮,1000905,0,0,0
新北市,貢寮區,6502600,0,0,0
屏東縣,枋山鄉,1001325,0,0,0
新北市,坪林區,6502000,0,0,0
雲林縣,水林鄉,1000920,0,0,0
臺中市,大安區,6602200,0,0,0
屏東縣,新埤鄉,1001315,0,0,0
臺南市,大內區,6701100,0,0,1
嘉義縣,義竹鄉,1001010,2,0,3
嘉義縣,六腳鄉,1001008,0,0,0
宜蘭縣,南澳鄉,1000212,0,0,0
臺東縣,東河鄉,1001407,0,0,0
花蓮縣,鳳林鎮,1001502,0,0,0
嘉義縣,溪口鄉,1001006,0,0,0
高雄市,田寮區,6402200,0,0,0
新北市,石門區,6502200,0,0,0
屏東縣,麟洛鄉,1001307,0,0,0
南投縣,集集鎮,1000805,0,0,0
屏東縣,林邊鄉,1001319,1,0,41
高雄市,六龜區,6403200,17,12,26
雲林縣,口湖鄉,1000919,0,0,0
嘉義縣,阿里山鄉,1001018,17,28,6
南投縣,信義鄉,1000812,6,4,2
臺東縣,成功鎮,1001402,0,0,0
高雄市,永安區,6402700,0,0,0
嘉義縣,鹿草鄉,1001011,0,0,0
雲林縣,崙背鄉,1000912,0,0,0
嘉義縣,布袋鎮,1001003,0,0,7
臺南市,玉井區,6702300,0,0,0
金門縣,金湖鎮,0902003,0,0,0
臺南市,山上區,6702200,0,0,1
花蓮縣,富里鄉,1001510,0,0,0
屏東縣,南州鄉,1001320,0,0,0
新北市,平溪區,6502400,0,0,0
臺南市,南化區,6702500,1,3,2
雲林縣,褒忠鄉,1000915,0,0,0
彰化縣,線西鄉,1000704,0,0,0
新竹縣,北埔鄉,1000409,0,0,0
屏東縣,車城鄉,1001323,0,0,0
臺東縣,關山鎮,1001403,0,0,0
雲林縣,四湖鄉,1000918,0,0,0
彰化縣,二水鄉,1000718,0,0,0
新竹縣,峨眉鄉,1000411,0,0,0
臺南市,將軍區,6701600,0,0,1
苗栗縣,南庄鄉,1000511,0,0,0
臺南市,龍崎區,6703000,0,0,0
屏東縣,崁頂鄉,1001318,1,0,1
苗栗縣,獅潭鄉,1000517,0,0,0
金門縣,金城鎮,0902001,0,0,0
雲林縣,臺西鄉,1000916,1,0,1
臺南市,北門區,6701700,0,0,4
花蓮縣,瑞穗鄉,1001509,0,0,0
南投縣,中寮鄉,1000808,0,0,0
臺南市,左鎮區,6702600,0,0,0
金門縣,金寧鄉,0902004,0,0,0
嘉義縣,東石鄉,1001009,0,0,3
臺南市,楠西區,6702400,0,0,0
苗栗縣,泰安鄉,1000518,0,0,0
彰化縣,大城鄉,1000724,0,0,0
臺東縣,大武鄉,1001410,3,1,2
雲林縣,東勢鄉,1000914,0,0,0
新北市,雙溪區,6502500,0,0,0
花蓮縣,光復鄉,1001507,0,0,0
高雄市,內門區,6403500,0,0,0
臺東縣,池上鄉,1001406,0,0,0
新竹縣,尖石鄉,1000412,0,0,0
彰化縣,竹塘鄉,1000725,0,0,0
高雄市,杉林區,6403400,3,0,0
宜蘭縣,大同鄉,1000211,0,0,0
屏東縣,三地門鄉,1001326,1,4,0
澎湖縣,湖西鄉,1001602,0,0,0
苗栗縣,三灣鄉,1000516,0,0,0
嘉義縣,大埔鄉,1001017,3,0,0
屏東縣,滿州鄉,1001324,1,1,0
屏東縣,獅子鄉,1001332,0,0,0
高雄市,甲仙區,6403300,11,20,8
屏東縣,泰武鄉,1001329,0,0,0
屏東縣,琉球鄉,1001322,0,0,0
澎湖縣,西嶼鄉,1001604,0,0,0
臺東縣,長濱鄉,1001408,0,0,0
花蓮縣,豐濱鄉,1001508,0,0,0
金門縣,金沙鎮,0902002,0,0,0
新竹縣,五峰鄉,1000413,0,0,0
澎湖縣,白沙鄉,1001603,0,0,0
屏東縣,瑪家鄉,1001328,0,0,0
花蓮縣,萬榮鄉,1001512,0,0,0
臺東縣,延平鄉,1001413,0,0,0
臺東縣,達仁鄉,1001415,2,2,0
高雄市,桃源區,6403700,4,2,3
高雄市,那瑪夏區,6403800,6,14,5
屏東縣,春日鄉,1001331,0,0,0
臺東縣,金峰鄉,1001414,2,1,1
屏東縣,來義鄉,1001330,0,2,0
屏東縣,牡丹鄉,1001333,0,0,0
金門縣,烈嶼鄉,0902005,0,0,0
澎湖縣,望安鄉,1001605,0,0,0
連江縣,南竿鄉,0900701,0,0,0
屏東縣,霧臺鄉,1001327,11,7,2
臺東縣,海端鄉,1001412,0,0,0
花蓮縣,卓溪鄉,1001513,0,0,0
高雄市,茂林區,6403600,4,3,1
臺東縣,綠島鄉,1001411,0,0,0
連江縣,北竿鄉,0900702,1,0,0
臺東縣,蘭嶼鄉,1001416,0,0,0
連江縣,莒光鄉,0900703,0,0,0
連江縣,東引鄉,0900704,0,0,0
金門縣,烏坵鄉,0902006,0,0,0
澎湖縣,七美鄉,1001606,0,0,0
